Contract,Latest,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"ERN26 (Jul '26)",1573,-6.,1572.5,1609,1567,1579,105,N/A,2026-06-28
"ERQ26 (Aug '26)",1584,19,1583.5,1601,1519,1565,277,110,2026-06-26
"ERU26 (Sep '26)",1588,16.5,1535.5,1596.5,1531.5,1571.5,23,42,2026-06-26
"ERV26 (Oct '26)",1596,16.5,0,1597,1566,1579.5,0,0,2026-06-26
"ERX26 (Nov '26)",1604,16.5,0,1604,1604,1587.5,0,0,2026-06-26
"ERZ26 (Dec '26)",1612,16.5,0,1612,1612,1595.5,0,0,2026-06-26
"ERH27 (Mar '27)",1646.5,20,0,1646.5,1646.5,1626.5,0,0,2026-06-26
"ERM27 (Jun '27)",1670.5,20.5,0,1670.5,1670.5,1650,0,0,2026-06-26
"ERU27 (Sep '27)",1694,20.5,0,1694,1694,1673.5,0,0,2026-06-26
"ERZ27 (Dec '27)",1719.5,21,0,1719.5,1719.5,1698.5,0,0,2026-06-26
"Downloaded from Barchart.com as of 06-28-2026 11:46am CDT"
